variant,seed,kind,pulls,failures,failure_rate,pulls_per_1k
V6_uniform,1235,STORE_OUT_MOD,81,123,1.5185185185185186,8.1
V6_uniform,1236,BR_NEG_COND,245,167,0.6816326530612244,24.5
V6_uniform,1236,COMP_OUT_MOD,659,3037,4.608497723823976,65.9
V6_uniform,1236,INSTR_WORD_MOD,1220,4748,3.8918032786885246,122.0
V6_uniform,1236,LOAD_VAL_MOD,117,184,1.5726495726495726,11.7
V6_uniform,1236,POST_EXEC_MEM_MOD,1287,9673,7.515928515928516,128.7
V6_uniform,1236,POST_EXEC_PC_MOD,1317,83684,63.54138192862566,131.7
V6_uniform,1236,POST_EXEC_REG_MOD,1240,10063,8.115322580645161,124.0
V6_uniform,1236,PRE_EXEC_MEM_MOD,1222,9697,7.935351882160393,122.2
V6_uniform,1236,PRE_EXEC_PC_MOD,1327,17898,13.487565938206481,132.7
V6_uniform,1236,PRE_EXEC_REG_MOD,1291,10525,8.152594887683966,129.1
V6_uniform,1236,STORE_OUT_MOD,75,113,1.5066666666666666,7.5
V6_cTS,1234,BR_NEG_COND,873,499,0.5715922107674685,87.3
V6_cTS,1234,COMP_OUT_MOD,1085,5935,5.470046082949309,108.5
V6_cTS,1234,INSTR_WORD_MOD,3210,7045,2.194704049844237,321.0
V6_cTS,1234,LOAD_VAL_MOD,147,173,1.1768707482993197,14.7
V6_cTS,1234,POST_EXEC_MEM_MOD,869,6158,7.086306098964327,86.9
V6_cTS,1234,POST_EXEC_PC_MOD,601,537,0.8935108153078203,60.1
V6_cTS,1234,POST_EXEC_REG_MOD,828,6969,8.416666666666666,82.8
V6_cTS,1234,PRE_EXEC_MEM_MOD,879,7761,8.829351535836178,87.9
V6_cTS,1234,PRE_EXEC_PC_MOD,604,521,0.8625827814569537,60.4
V6_cTS,1234,PRE_EXEC_REG_MOD,815,7351,9.01963190184049,81.5
V6_cTS,1234,STORE_OUT_MOD,89,165,1.853932584269663,8.9
V6_cTS,1235,BR_NEG_COND,880,555,0.6306818181818182,88.0
V6_cTS,1235,COMP_OUT_MOD,1088,3747,3.4439338235294117,108.8
V6_cTS,1235,INSTR_WORD_MOD,3220,7270,2.2577639751552794,322.0
V6_cTS,1235,LOAD_VAL_MOD,141,1471,10.432624113475176,14.1
V6_cTS,1235,POST_EXEC_MEM_MOD,861,6465,7.508710801393728,86.1
V6_cTS,1235,POST_EXEC_PC_MOD,599,456,0.7612687813021702,59.9
V6_cTS,1235,POST_EXEC_REG_MOD,847,6418,7.577331759149941,84.7
V6_cTS,1235,PRE_EXEC_MEM_MOD,836,8861,10.599282296650717,83.6
V6_cTS,1235,PRE_EXEC_PC_MOD,620,501,0.8080645161290323,62.0
V6_cTS,1235,PRE_EXEC_REG_MOD,814,8980,11.031941031941033,81.4
V6_cTS,1235,STORE_OUT_MOD,94,279,2.9680851063829787,9.4
V6_cTS,1236,BR_NEG_COND,867,541,0.6239907727797002,86.7
V6_cTS,1236,COMP_OUT_MOD,1073,4839,4.509785647716682,107.3
V6_cTS,1236,INSTR_WORD_MOD,3193,3260,1.0209834011901033,319.3
V6_cTS,1236,LOAD_VAL_MOD,138,136,0.9855072463768116,13.8
V6_cTS,1236,POST_EXEC_MEM_MOD,869,6107,7.027617951668584,86.9
V6_cTS,1236,POST_EXEC_PC_MOD,612,504,0.8235294117647058,61.2
V6_cTS,1236,POST_EXEC_REG_MOD,815,5896,7.234355828220859,81.5
V6_cTS,1236,PRE_EXEC_MEM_MOD,873,7986,9.147766323024054,87.3
V6_cTS,1236,PRE_EXEC_PC_MOD,620,562,0.9064516129032258,62.0
V6_cTS,1236,PRE_EXEC_REG_MOD,846,8828,10.43498817966903,84.6
V6_cTS,1236,STORE_OUT_MOD,94,195,2.074468085106383,9.4
Hybrid_cTS,1234,BR_NEG_COND,218,155,0.7110091743119266,21.8
Hybrid_cTS,1234,COMP_OUT_MOD,372,676,1.8172043010752688,37.2
Hybrid_cTS,1234,CYCLE_DIFF_COUNT_MOD,932,0,0.0,93.2
Hybrid_cTS,1234,INSTR_TYPE_MOD,1070,5133,4.797196261682243,107.0
Hybrid_cTS,1234,INSTR_WORD_MOD,1131,1972,1.7435897435897436,113.1
Hybrid_cTS,1234,INSTR_WORD_MOD_FULL,651,1046,1.6067588325652842,65.1
Hybrid_cTS,1234,INSTR_WORD_MOD_SUR,651,548,0.8417818740399385,65.1
Hybrid_cTS,1234,LOAD_VAL_MOD,186,344,1.8494623655913978,18.6
Hybrid_cTS,1234,MEM_VAL_MOD,832,3537,4.251201923076923,83.2
Hybrid_cTS,1234,PRE_EXEC_MEM_MOD,1451,14396,9.92143349414197,145.1
Hybrid_cTS,1234,PRE_EXEC_PC_MOD,993,797,0.8026183282980867,99.3
Hybrid_cTS,1234,PRE_EXEC_REG_MOD,589,1892,3.2122241086587437,58.9
Hybrid_cTS,1234,STORE_OUT_MOD,86,164,1.9069767441860466,8.6
Hybrid_cTS,1234,TXN_PREV_CYCLE_MOD,566,0,0.0,56.6
Hybrid_cTS,1234,TXN_PREV_WORD_MOD,272,351,1.2904411764705883,27.2
Hybrid_cTS,1235,BR_NEG_COND,214,129,0.602803738317757,21.4
Hybrid_cTS,1235,COMP_OUT_MOD,372,649,1.7446236559139785,37.2
Hybrid_cTS,1235,CYCLE_DIFF_COUNT_MOD,932,0,0.0,93.2
Hybrid_cTS,1235,INSTR_TYPE_MOD,1083,5163,4.767313019390581,108.3
Hybrid_cTS,1235,INSTR_WORD_MOD,1167,2117,1.8140531276778062,116.7
Hybrid_cTS,1235,INSTR_WORD_MOD_FULL,651,1017,1.5622119815668203,65.1
Hybrid_cTS,1235,INSTR_WORD_MOD_SUR,651,597,0.9170506912442397,65.1
Hybrid_cTS,1235,LOAD_VAL_MOD,186,346,1.8602150537634408,18.6
Hybrid_cTS,1235,MEM_VAL_MOD,839,3358,4.00238379022646,83.9
Hybrid_cTS,1235,PRE_EXEC_MEM_MOD,1401,14103,10.066381156316917,140.1
Hybrid_cTS,1235,PRE_EXEC_PC_MOD,956,1086,1.1359832635983265,95.6
Hybrid_cTS,1235,PRE_EXEC_REG_MOD,594,1911,3.217171717171717,59.4
Hybrid_cTS,1235,STORE_OUT_MOD,85,158,1.8588235294117648,8.5
Hybrid_cTS,1235,TXN_PREV_CYCLE_MOD,589,0,0.0,58.9
Hybrid_cTS,1235,TXN_PREV_WORD_MOD,280,372,1.3285714285714285,28.0
Hybrid_cTS,1236,BR_NEG_COND,210,130,0.6190476190476191,21.0
Hybrid_cTS,1236,COMP_OUT_MOD,372,669,1.7983870967741935,37.2
Hybrid_cTS,1236,CYCLE_DIFF_COUNT_MOD,932,0,0.0,93.2
Hybrid_cTS,1236,INSTR_TYPE_MOD,1077,5049,4.688022284122563,107.7
Hybrid_cTS,1236,INSTR_WORD_MOD,1130,1734,1.5345132743362833,113.0
Hybrid_cTS,1236,INSTR_WORD_MOD_FULL,652,958,1.469325153374233,65.2
Hybrid_cTS,1236,INSTR_WORD_MOD_SUR,652,502,0.7699386503067485,65.2
Hybrid_cTS,1236,LOAD_VAL_MOD,186,351,1.8870967741935485,18.6
Hybrid_cTS,1236,MEM_VAL_MOD,832,3497,4.203125,83.2
Hybrid_cTS,1236,PRE_EXEC_MEM_MOD,1446,13385,9.256569847856156,144.6
Hybrid_cTS,1236,PRE_EXEC_PC_MOD,993,989,0.9959718026183283,99.3
Hybrid_cTS,1236,PRE_EXEC_REG_MOD,599,2020,3.37228714524207,59.9
Hybrid_cTS,1236,STORE_OUT_MOD,90,163,1.8111111111111111,9.0
Hybrid_cTS,1236,TXN_PREV_CYCLE_MOD,562,0,0.0,56.2
Hybrid_cTS,1236,TXN_PREV_WORD_MOD,267,397,1.4868913857677903,26.7
