variant,seed,mutation_id_bucket,mode,count
V5,1239,"[2000,4000)",adaptive,80
V5,1239,"[2000,4000)",floor,1920
V5,1239,"[4000,6000)",adaptive,80
V5,1239,"[4000,6000)",floor,1920
V5,1240,"[0,200)",cold,144
V5,1240,"[0,200)",floor,47
V5,1240,"[0,200)",singleton,8
V5,1240,"[1000,2000)",adaptive,40
V5,1240,"[1000,2000)",floor,960
V5,1240,"[200,1000)",adaptive,32
V5,1240,"[200,1000)",floor,768
V5,1240,"[2000,4000)",adaptive,80
V5,1240,"[2000,4000)",floor,1920
V5,1240,"[4000,6000)",adaptive,80
V5,1240,"[4000,6000)",floor,1920
V5,1241,"[0,200)",cold,144
V5,1241,"[0,200)",floor,47
V5,1241,"[0,200)",singleton,8
V5,1241,"[1000,2000)",adaptive,40
V5,1241,"[1000,2000)",floor,960
V5,1241,"[200,1000)",adaptive,32
V5,1241,"[200,1000)",floor,768
V5,1241,"[2000,4000)",adaptive,80
V5,1241,"[2000,4000)",floor,1920
V5,1241,"[4000,6000)",adaptive,80
V5,1241,"[4000,6000)",floor,1920
V5,1242,"[0,200)",cold,144
V5,1242,"[0,200)",floor,47
V5,1242,"[0,200)",singleton,8
V5,1242,"[1000,2000)",adaptive,40
V5,1242,"[1000,2000)",floor,960
V5,1242,"[200,1000)",adaptive,32
V5,1242,"[200,1000)",floor,768
V5,1242,"[2000,4000)",adaptive,80
V5,1242,"[2000,4000)",floor,1920
V5,1242,"[4000,6000)",adaptive,80
V5,1242,"[4000,6000)",floor,1920
V5,1243,"[0,200)",cold,144
V5,1243,"[0,200)",floor,47
V5,1243,"[0,200)",singleton,8
V5,1243,"[1000,2000)",adaptive,40
V5,1243,"[1000,2000)",floor,960
V5,1243,"[200,1000)",adaptive,32
V5,1243,"[200,1000)",floor,768
V5,1243,"[2000,4000)",adaptive,80
V5,1243,"[2000,4000)",floor,1920
V5,1243,"[4000,6000)",adaptive,80
V5,1243,"[4000,6000)",floor,1920
V5-decayepoch,1234,"[0,200)",cold,144
V5-decayepoch,1234,"[0,200)",floor,47
V5-decayepoch,1234,"[0,200)",singleton,8
V5-decayepoch,1234,"[1000,2000)",adaptive,40
V5-decayepoch,1234,"[1000,2000)",floor,960
V5-decayepoch,1234,"[200,1000)",adaptive,32
V5-decayepoch,1234,"[200,1000)",floor,768
V5-decayepoch,1234,"[2000,4000)",adaptive,1040
V5-decayepoch,1234,"[2000,4000)",floor,960
V5-decayepoch,1234,"[4000,6000)",adaptive,1040
V5-decayepoch,1234,"[4000,6000)",floor,960
V5-decayepoch,1235,"[0,200)",cold,144
V5-decayepoch,1235,"[0,200)",floor,47
V5-decayepoch,1235,"[0,200)",singleton,8
V5-decayepoch,1235,"[1000,2000)",adaptive,40
V5-decayepoch,1235,"[1000,2000)",floor,960
V5-decayepoch,1235,"[200,1000)",adaptive,32
V5-decayepoch,1235,"[200,1000)",floor,768
V5-decayepoch,1235,"[2000,4000)",adaptive,1040
V5-decayepoch,1235,"[2000,4000)",floor,960
V5-decayepoch,1235,"[4000,6000)",adaptive,1040
V5-decayepoch,1235,"[4000,6000)",floor,960
V5-decayepoch,1236,"[0,200)",cold,144
V5-decayepoch,1236,"[0,200)",floor,47
V5-decayepoch,1236,"[0,200)",singleton,8
V5-decayepoch,1236,"[1000,2000)",adaptive,40
V5-decayepoch,1236,"[1000,2000)",floor,960
V5-decayepoch,1236,"[200,1000)",adaptive,32
V5-decayepoch,1236,"[200,1000)",floor,768
V5-decayepoch,1236,"[2000,4000)",adaptive,1040
V5-decayepoch,1236,"[2000,4000)",floor,960
V5-decayepoch,1236,"[4000,6000)",adaptive,1040
V5-decayepoch,1236,"[4000,6000)",floor,960
V5-decayepoch,1237,"[0,200)",cold,144
V5-decayepoch,1237,"[0,200)",floor,47
V5-decayepoch,1237,"[0,200)",singleton,8
V5-decayepoch,1237,"[1000,2000)",adaptive,40
V5-decayepoch,1237,"[1000,2000)",floor,960
V5-decayepoch,1237,"[200,1000)",adaptive,32
V5-decayepoch,1237,"[200,1000)",floor,768
V5-decayepoch,1237,"[2000,4000)",adaptive,1040
V5-decayepoch,1237,"[2000,4000)",floor,960
V5-decayepoch,1237,"[4000,6000)",adaptive,1040
V5-decayepoch,1237,"[4000,6000)",floor,960
V5-decayepoch,1238,"[0,200)",cold,144
V5-decayepoch,1238,"[0,200)",floor,47
V5-decayepoch,1238,"[0,200)",singleton,8
V5-decayepoch,1238,"[1000,2000)",adaptive,40
V5-decayepoch,1238,"[1000,2000)",floor,960
V5-decayepoch,1238,"[200,1000)",adaptive,32
V5-decayepoch,1238,"[200,1000)",floor,768
V5-decayepoch,1238,"[2000,4000)",adaptive,1040
V5-decayepoch,1238,"[2000,4000)",floor,960
V5-decayepoch,1238,"[4000,6000)",adaptive,1040
V5-decayepoch,1238,"[4000,6000)",floor,960
V5-decayexp,1234,"[0,200)",adaptive,44
V5-decayexp,1234,"[0,200)",cold,144
V5-decayexp,1234,"[0,200)",floor,3
V5-decayexp,1234,"[0,200)",singleton,8
V5-decayexp,1234,"[1000,2000)",adaptive,520
V5-decayexp,1234,"[1000,2000)",floor,480
V5-decayexp,1234,"[200,1000)",adaptive,416
V5-decayexp,1234,"[200,1000)",floor,384
V5-decayexp,1234,"[2000,4000)",adaptive,1040
V5-decayexp,1234,"[2000,4000)",floor,960
V5-decayexp,1234,"[4000,6000)",adaptive,1040
V5-decayexp,1234,"[4000,6000)",floor,960
V5-decayexp,1235,"[0,200)",adaptive,44
V5-decayexp,1235,"[0,200)",cold,144
V5-decayexp,1235,"[0,200)",floor,3
V5-decayexp,1235,"[0,200)",singleton,8
V5-decayexp,1235,"[1000,2000)",adaptive,520
V5-decayexp,1235,"[1000,2000)",floor,480
V5-decayexp,1235,"[200,1000)",adaptive,416
V5-decayexp,1235,"[200,1000)",floor,384
V5-decayexp,1235,"[2000,4000)",adaptive,1040
V5-decayexp,1235,"[2000,4000)",floor,960
V5-decayexp,1235,"[4000,6000)",adaptive,1040
V5-decayexp,1235,"[4000,6000)",floor,960
V5-decayexp,1236,"[0,200)",adaptive,44
V5-decayexp,1236,"[0,200)",cold,144
V5-decayexp,1236,"[0,200)",floor,3
V5-decayexp,1236,"[0,200)",singleton,8
V5-decayexp,1236,"[1000,2000)",adaptive,520
V5-decayexp,1236,"[1000,2000)",floor,480
V5-decayexp,1236,"[200,1000)",adaptive,416
V5-decayexp,1236,"[200,1000)",floor,384
V5-decayexp,1236,"[2000,4000)",adaptive,1040
V5-decayexp,1236,"[2000,4000)",floor,960
V5-decayexp,1236,"[4000,6000)",adaptive,1040
V5-decayexp,1236,"[4000,6000)",floor,960
V5-decayexp,1237,"[0,200)",adaptive,44
V5-decayexp,1237,"[0,200)",cold,144
V5-decayexp,1237,"[0,200)",floor,3
V5-decayexp,1237,"[0,200)",singleton,8
V5-decayexp,1237,"[1000,2000)",adaptive,520
V5-decayexp,1237,"[1000,2000)",floor,480
V5-decayexp,1237,"[200,1000)",adaptive,416
V5-decayexp,1237,"[200,1000)",floor,384
V5-decayexp,1237,"[2000,4000)",adaptive,1040
V5-decayexp,1237,"[2000,4000)",floor,960
V5-decayexp,1237,"[4000,6000)",adaptive,1040
V5-decayexp,1237,"[4000,6000)",floor,960
V5-decayexp,1238,"[0,200)",adaptive,44
V5-decayexp,1238,"[0,200)",cold,144
V5-decayexp,1238,"[0,200)",floor,3
V5-decayexp,1238,"[0,200)",singleton,8
V5-decayexp,1238,"[1000,2000)",adaptive,520
V5-decayexp,1238,"[1000,2000)",floor,480
V5-decayexp,1238,"[200,1000)",adaptive,416
V5-decayexp,1238,"[200,1000)",floor,384
V5-decayexp,1238,"[2000,4000)",adaptive,1040
V5-decayexp,1238,"[2000,4000)",floor,960
V5-decayexp,1238,"[4000,6000)",adaptive,1040
V5-decayexp,1238,"[4000,6000)",floor,960
