corpus_variant,seed,cgc_variant,db_path,cgc_final,memory_final,lookup_final,auc_normalized,time_to_10,time_to_50,time_to_90
V5,1239,production_log2_corrected,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ts_b6_cTS_semantic_v2_seed1239_n6000/pos_iv_pos_7_ts_b6_cTS_semantic_v2_seed1239_n6000.db,227,128,99,0.7587430249632893,29,688,4053
V5,1239,region_only,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ts_b6_cTS_semantic_v2_seed1239_n6000/pos_iv_pos_7_ts_b6_cTS_semantic_v2_seed1239_n6000.db,109,10,99,0.7660917431192661,13,956,3706
V5,1240,log4_explicit,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ts_b7_cTS_semantic_v2_seed1240_n6000/pos_iv_pos_7_ts_b7_cTS_semantic_v2_seed1240_n6000.db,125,24,101,0.7974466666666666,12,621,3216
V5,1240,page_class,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ts_b7_cTS_semantic_v2_seed1240_n6000/pos_iv_pos_7_ts_b7_cTS_semantic_v2_seed1240_n6000.db,116,15,101,0.789430316091954,12,626,3520
V5,1240,production_log2_corrected,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ts_b7_cTS_semantic_v2_seed1240_n6000/pos_iv_pos_7_ts_b7_cTS_semantic_v2_seed1240_n6000.db,223,122,101,0.7799461883408072,13,619,4078
V5,1240,region_only,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ts_b7_cTS_semantic_v2_seed1240_n6000/pos_iv_pos_7_ts_b7_cTS_semantic_v2_seed1240_n6000.db,111,10,101,0.7803693693693694,13,707,3520
V5,1241,log4_explicit,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b4_cTS_semantic_v2_seed1241_n6000/pos_iv_pos_7_ta_b4_cTS_semantic_v2_seed1241_n6000.db,125,24,101,0.7590866666666667,27,736,3656
V5,1241,page_class,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b4_cTS_semantic_v2_seed1241_n6000/pos_iv_pos_7_ta_b4_cTS_semantic_v2_seed1241_n6000.db,115,14,101,0.7497130434782608,14,807,4072
V5,1241,production_log2_corrected,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b4_cTS_semantic_v2_seed1241_n6000/pos_iv_pos_7_ta_b4_cTS_semantic_v2_seed1241_n6000.db,222,121,101,0.7501137387387388,27,736,4040
V5,1241,region_only,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b4_cTS_semantic_v2_seed1241_n6000/pos_iv_pos_7_ta_b4_cTS_semantic_v2_seed1241_n6000.db,110,9,101,0.7388037878787879,13,1118,4072
V5,1242,log4_explicit,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b5_cTS_semantic_v2_seed1242_n6000/pos_iv_pos_7_ta_b5_cTS_semantic_v2_seed1242_n6000.db,123,24,99,0.7281910569105691,35,762,4567
V5,1242,page_class,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b5_cTS_semantic_v2_seed1242_n6000/pos_iv_pos_7_ta_b5_cTS_semantic_v2_seed1242_n6000.db,113,14,99,0.7164852507374632,14,768,4609
V5,1242,production_log2_corrected,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b5_cTS_semantic_v2_seed1242_n6000/pos_iv_pos_7_ta_b5_cTS_semantic_v2_seed1242_n6000.db,219,120,99,0.7288987823439879,30,762,4567
V5,1242,region_only,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b5_cTS_semantic_v2_seed1242_n6000/pos_iv_pos_7_ta_b5_cTS_semantic_v2_seed1242_n6000.db,108,9,99,0.7038804012345679,13,817,4617
V5,1243,log4_explicit,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b6_cTS_semantic_v2_seed1243_n6000/pos_iv_pos_7_ta_b6_cTS_semantic_v2_seed1243_n6000.db,110,24,86,0.8032568181818182,11,655,3274
V5,1243,page_class,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b6_cTS_semantic_v2_seed1243_n6000/pos_iv_pos_7_ta_b6_cTS_semantic_v2_seed1243_n6000.db,100,14,86,0.7916325,8,675,3274
V5,1243,production_log2_corrected,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b6_cTS_semantic_v2_seed1243_n6000/pos_iv_pos_7_ta_b6_cTS_semantic_v2_seed1243_n6000.db,210,124,86,0.7595821428571429,13,731,4130
V5,1243,region_only,/root/arguzz/a4/runs/iv_pos_7/dbs/pos_iv_pos_7_ta_b6_cTS_semantic_v2_seed1243_n6000/pos_iv_pos_7_ta_b6_cTS_semantic_v2_seed1243_n6000.db,95,9,86,0.780819298245614,12,755,3316
V5-decayepoch,1234,log4_explicit,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/octorand_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayepoch_seed1234_n6000.db,118,24,94,0.7705783898305085,53,782,4224
V5-decayepoch,1234,page_class,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/octorand_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayepoch_seed1234_n6000.db,108,14,94,0.767613425925926,41,765,4617
V5-decayepoch,1234,production_log2_corrected,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/octorand_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayepoch_seed1234_n6000.db,220,126,94,0.7356193181818181,35,862,4561
V5-decayepoch,1234,region_only,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/octorand_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayepoch_seed1234_n6000.db,103,9,94,0.7567783171521035,55,807,4617
V5-decayepoch,1235,log4_explicit,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/polynize_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayepoch_seed1235_n6000.db,118,25,93,0.7800840395480226,12,734,4030
V5-decayepoch,1235,page_class,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/polynize_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayepoch_seed1235_n6000.db,108,15,93,0.7727152777777778,12,734,4163
V5-decayepoch,1235,production_log2_corrected,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/polynize_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayepoch_seed1235_n6000.db,228,135,93,0.7188220029239766,27,1067,4677
V5-decayepoch,1235,region_only,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/polynize_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayepoch_seed1235_n6000.db,103,10,93,0.7621844660194175,27,919,4163
V5-decayepoch,1236,log4_explicit,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/gard_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayepoch_seed1236_n6000.db,106,24,82,0.7851957547169811,11,660,4434
V5-decayepoch,1236,page_class,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/gard_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayepoch_seed1236_n6000.db,96,14,82,0.7797178819444445,11,660,4530
V5-decayepoch,1236,production_log2_corrected,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/gard_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayepoch_seed1236_n6000.db,207,125,82,0.7741304347826087,20,619,4393
V5-decayepoch,1236,region_only,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/gard_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayepoch_seed1236_n6000.db,91,9,82,0.7686978021978021,11,819,4530
V5-decayepoch,1237,log4_explicit,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/zone_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayepoch_seed1237_n6000.db,121,25,96,0.7393071625344353,12,956,3919
V5-decayepoch,1237,page_class,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/zone_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayepoch_seed1237_n6000.db,111,15,96,0.7290705705705706,13,956,3927
V5-decayepoch,1237,production_log2_corrected,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/zone_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayepoch_seed1237_n6000.db,221,125,96,0.7171606334841629,13,931,4682
V5-decayepoch,1237,region_only,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/zone_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayepoch_seed1237_n6000.db,106,10,96,0.7167995283018868,13,958,4419
V5-decayepoch,1238,log4_explicit,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/octorand_pos_iv_pos_8_d1a_b1c_cTS_semantic_v2_decayepoch_seed1238_n6000.db,116,25,91,0.795864224137931,12,627,3721
V5-decayepoch,1238,page_class,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/octorand_pos_iv_pos_8_d1a_b1c_cTS_semantic_v2_decayepoch_seed1238_n6000.db,106,15,91,0.7863985849056604,12,627,3799
V5-decayepoch,1238,production_log2_corrected,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/octorand_pos_iv_pos_8_d1a_b1c_cTS_semantic_v2_decayepoch_seed1238_n6000.db,214,123,91,0.7578002336448598,20,739,4508
V5-decayepoch,1238,region_only,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/octorand_pos_iv_pos_8_d1a_b1c_cTS_semantic_v2_decayepoch_seed1238_n6000.db,101,10,91,0.7761056105610561,12,754,3799
V5-decayexp,1234,log4_explicit,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/flare_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayexp_seed1234_n6000.db,122,25,97,0.7710840163934426,53,563,4321
V5-decayexp,1234,page_class,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/flare_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayexp_seed1234_n6000.db,112,15,97,0.7693816964285715,48,549,4321
V5-decayexp,1234,production_log2_corrected,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/flare_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayexp_seed1234_n6000.db,221,124,97,0.738289592760181,36,720,4819
V5-decayexp,1234,region_only,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/flare_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayexp_seed1234_n6000.db,107,10,97,0.7590342679127726,55,597,4321
V5-decayexp,1235,log4_explicit,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/opulous_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayexp_seed1235_n6000.db,117,25,92,0.7797307692307692,12,841,3521
V5-decayexp,1235,page_class,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/opulous_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayexp_seed1235_n6000.db,107,15,92,0.7736214953271028,12,989,3585
V5-decayexp,1235,production_log2_corrected,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/opulous_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayexp_seed1235_n6000.db,227,135,92,0.7632782672540381,27,1035,3421
V5-decayexp,1235,region_only,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/opulous_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayexp_seed1235_n6000.db,102,10,92,0.7631102941176471,27,1011,3585
V5-decayexp,1236,log4_explicit,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/algofi_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayexp_seed1236_n6000.db,110,25,85,0.7935780303030303,11,640,3424
V5-decayexp,1236,page_class,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/algofi_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayexp_seed1236_n6000.db,100,15,85,0.7821525,11,668,3690
V5-decayexp,1236,production_log2_corrected,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/algofi_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayexp_seed1236_n6000.db,214,129,85,0.7769373052959502,20,727,3888
V5-decayexp,1236,region_only,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/algofi_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayexp_seed1236_n6000.db,95,10,85,0.7719157894736842,11,730,4117
V5-decayexp,1237,log4_explicit,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/goracle_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayexp_seed1237_n6000.db,109,25,84,0.7927691131498471,10,588,3430
V5-decayexp,1237,page_class,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/goracle_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayexp_seed1237_n6000.db,99,15,84,0.7840976430976431,12,594,3479
V5-decayexp,1237,production_log2_corrected,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/goracle_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayexp_seed1237_n6000.db,202,118,84,0.781865099009901,12,552,3590
V5-decayexp,1237,region_only,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/goracle_pos_iv_pos_8_d1a_b1_cTS_semantic_v2_decayexp_seed1237_n6000.db,94,10,84,0.7731533687943263,12,610,3479
V5-decayexp,1238,log4_explicit,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/flare_pos_iv_pos_8_d1a_b1c_cTS_semantic_v2_decayexp_seed1238_n6000.db,113,25,88,0.7897654867256637,12,666,3699
V5-decayexp,1238,page_class,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/flare_pos_iv_pos_8_d1a_b1c_cTS_semantic_v2_decayexp_seed1238_n6000.db,103,15,88,0.7849223300970873,12,666,3814
V5-decayexp,1238,production_log2_corrected,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/flare_pos_iv_pos_8_d1a_b1c_cTS_semantic_v2_decayexp_seed1238_n6000.db,214,126,88,0.7762745327102804,20,671,4127
V5-decayexp,1238,region_only,/root/arguzz/a4/runs/iv_pos_8/d1a/dbs/flare_pos_iv_pos_8_d1a_b1c_cTS_semantic_v2_decayexp_seed1238_n6000.db,98,10,88,0.7742389455782313,12,711,4127
