variant,seed,expected_n,mutation_id,step,kind,outcome,channel,local_failures
V5_control,1234,100,59,3519,TXN_PREV_CYCLE_MOD,applied,applied_other,0
V5_control,1234,100,60,511,TXN_PREV_CYCLE_MOD,applied,applied_other,0
V5_control,1234,100,61,1118,TXN_PREV_CYCLE_MOD,applied,applied_other,0
V5_control,1234,100,62,3737,TXN_PREV_CYCLE_MOD,applied,applied_other,0
V5_control,1234,100,63,2528,TXN_PREV_CYCLE_MOD,applied,applied_other,0
V5_control,1234,100,64,610,TXN_PREV_CYCLE_MOD,applied,applied_other,0
V5_control,1234,100,65,14,TXN_PREV_CYCLE_MOD,applied,applied_other,0
V5_control,1234,100,66,3929,TXN_PREV_CYCLE_MOD,applied,applied_other,0
V5_control,1234,100,67,1089,TXN_PREV_CYCLE_MOD,applied,applied_other,0
V5_control,1234,100,68,449,TXN_PREV_CYCLE_MOD,applied,applied_other,0
V5_control,1234,100,69,3743,TXN_PREV_WORD_MOD,applied,applied_other,0
V5_control,1234,100,70,433,TXN_PREV_WORD_MOD,applied,C1,1
V5_control,1234,100,71,2176,TXN_PREV_WORD_MOD,applied,C1,2
V5_control,1234,100,72,3055,TXN_PREV_WORD_MOD,applied,applied_other,0
V5_control,1234,100,73,417,TXN_PREV_WORD_MOD,applied,applied_other,0
V5_control,1234,100,74,3103,TXN_PREV_WORD_MOD,applied,applied_other,0
V5_control,1234,100,75,836,TXN_PREV_WORD_MOD,applied,C1,2
V5_control,1234,100,76,3929,TXN_PREV_WORD_MOD,applied,applied_other,0
V5_control,1234,100,77,293,TXN_PREV_WORD_MOD,applied,applied_other,0
V5_control,1234,100,78,607,TXN_PREV_WORD_MOD,applied,C1,2
V5_control,1234,100,79,1231,COMP_OUT_MOD,applied,C1,2
V5_control,1234,100,80,966,COMP_OUT_MOD,applied,C1,2
V5_control,1234,100,81,1001,COMP_OUT_MOD,applied,C1,2
V5_control,1234,100,82,528,COMP_OUT_MOD,applied,C1,2
V5_control,1234,100,83,3354,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1234,100,84,157,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1234,100,85,3877,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1234,100,86,2762,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1234,100,87,2585,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1234,100,88,3434,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1234,100,89,1075,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1234,100,90,3929,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1234,100,91,3157,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1234,100,92,3557,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1234,100,93,347,INSTR_TYPE_MOD,applied,C1,3
V5_control,1234,100,94,3172,INSTR_TYPE_MOD,applied,C1,5
V5_control,1234,100,95,1275,INSTR_TYPE_MOD,applied,C1,3
V5_control,1234,100,96,3161,INSTR_TYPE_MOD,applied,C1,5
V5_control,1234,100,97,3441,INSTR_TYPE_MOD,applied,C1,2
V5_control,1234,100,98,2488,INSTR_TYPE_MOD,applied,C1,4
V5_control,1234,100,99,919,INSTR_TYPE_MOD,applied,C1,3
V5_control,1234,100,100,837,INSTR_TYPE_MOD,applied,C1,14
V5_control,1235,100,1,3295,COMP_OUT_MOD,applied,C1,2
V5_control,1235,100,2,3108,COMP_OUT_MOD,applied,C1,2
V5_control,1235,100,3,3513,COMP_OUT_MOD,applied,C1,2
V5_control,1235,100,4,3809,COMP_OUT_MOD,applied,C1,2
V5_control,1235,100,5,2896,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1235,100,6,433,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1235,100,7,2513,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1235,100,8,2872,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1235,100,9,2528,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1235,100,10,3753,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1235,100,11,360,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1235,100,12,3929,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1235,100,13,2054,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1235,100,14,837,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1235,100,15,3231,INSTR_TYPE_MOD,applied,C1,1
V5_control,1235,100,16,2511,INSTR_TYPE_MOD,applied,C1,2
V5_control,1235,100,17,3080,INSTR_TYPE_MOD,applied,C1,3
V5_control,1235,100,18,2597,INSTR_TYPE_MOD,applied,C1,6
V5_control,1235,100,19,374,INSTR_TYPE_MOD,applied,C1,12
V5_control,1235,100,20,993,INSTR_TYPE_MOD,applied,C1,4
V5_control,1235,100,21,687,INSTR_TYPE_MOD,applied,C1,4
V5_control,1235,100,22,759,INSTR_TYPE_MOD,applied,C1,5
V5_control,1235,100,23,0,INSTR_TYPE_MOD,applied,C1,6
V5_control,1235,100,24,2896,INSTR_WORD_MOD_FULL,applied,C1,1
V5_control,1235,100,25,388,INSTR_WORD_MOD_FULL,applied,C1,1
V5_control,1235,100,26,102,INSTR_WORD_MOD_FULL,applied,C1,3
V5_control,1235,100,27,339,INSTR_WORD_MOD_FULL,applied,C1,4
V5_control,1235,100,28,530,INSTR_WORD_MOD_FULL,applied,C1,1
V5_control,1235,100,29,1852,INSTR_WORD_MOD_FULL,applied,C1,1
V5_control,1235,100,30,529,INSTR_WORD_MOD_FULL,applied,C1,1
V5_control,1235,100,31,2691,INSTR_WORD_MOD_SUR,applied,C1,1
V5_control,1235,100,32,3834,INSTR_WORD_MOD_SUR,applied,C1,1
V5_control,1235,100,33,1300,INSTR_WORD_MOD_SUR,applied,C1,1
V5_control,1235,100,34,2596,INSTR_WORD_MOD_SUR,applied,C1,3
V5_control,1235,100,35,921,INSTR_WORD_MOD_SUR,applied,C1,1
V5_control,1235,100,36,672,INSTR_WORD_MOD_SUR,applied,C1,2
V5_control,1235,100,37,920,INSTR_WORD_MOD_SUR,applied,C1,1
V5_control,1235,100,38,1518,LOAD_VAL_MOD,applied,C1,1
V5_control,1235,100,39,2055,LOAD_VAL_MOD,applied,C1,2
V5_control,1235,100,40,2329,MEM_VAL_MOD,applied,C1,6
V5_control,1235,100,41,2506,MEM_VAL_MOD,applied,C1,4
V5_control,1235,100,42,2167,MEM_VAL_MOD,applied,C1,4
V5_control,1235,100,43,3400,MEM_VAL_MOD,applied,C1,2
V5_control,1235,100,44,3134,MEM_VAL_MOD,applied,C1,2
V5_control,1235,100,45,3929,MEM_VAL_MOD,applied,applied_other,0
V5_control,1235,100,46,920,MEM_VAL_MOD,applied,C1,6
V5_control,1235,100,47,1853,MEM_VAL_MOD,applied,C1,4
V5_control,1235,100,48,0,MEM_VAL_MOD,applied,C1,10
V5_control,1235,100,49,2137,PRE_EXEC_REG_MOD,applied,C1,2
V5_control,1235,100,50,387,PRE_EXEC_REG_MOD,applied,C1,2
V5_control,1235,100,51,3658,PRE_EXEC_REG_MOD,applied,C1,3
V5_control,1235,100,52,3503,PRE_EXEC_REG_MOD,applied,C1,1
V5_control,1235,100,53,3591,PRE_EXEC_REG_MOD,applied,C1,2
V5_control,1235,100,54,991,PRE_EXEC_REG_MOD,applied,C1,4
V5_control,1235,100,55,3157,PRE_EXEC_REG_MOD,applied,C1,4
V5_control,1235,100,56,0,PRE_EXEC_REG_MOD,applied,C1,10
V5_control,1235,100,57,2834,STORE_OUT_MOD,applied,C1,2
V5_control,1235,100,58,3909,STORE_OUT_MOD,applied,C1,2
V5_control,1235,100,59,139,TXN_PREV_CYCLE_MOD,applied,applied_other,0
V5_control,1235,100,60,591,TXN_PREV_CYCLE_MOD,applied,applied_other,0
V5_control,1235,100,61,1207,TXN_PREV_CYCLE_MOD,applied,applied_other,0
V5_control,1235,100,62,2944,TXN_PREV_CYCLE_MOD,applied,applied_other,0
V5_control,1235,100,63,886,TXN_PREV_CYCLE_MOD,applied,applied_other,0
V5_control,1235,100,64,2314,TXN_PREV_CYCLE_MOD,applied,applied_other,0
V5_control,1235,100,65,3915,TXN_PREV_CYCLE_MOD,applied,applied_other,0
V5_control,1235,100,66,3929,TXN_PREV_CYCLE_MOD,applied,applied_other,0
V5_control,1235,100,67,686,TXN_PREV_CYCLE_MOD,applied,applied_other,0
V5_control,1235,100,68,1088,TXN_PREV_CYCLE_MOD,applied,applied_other,0
V5_control,1235,100,69,2379,TXN_PREV_WORD_MOD,applied,C1,2
V5_control,1235,100,70,511,TXN_PREV_WORD_MOD,applied,applied_other,0
V5_control,1235,100,71,206,TXN_PREV_WORD_MOD,applied,C1,1
V5_control,1235,100,72,1297,TXN_PREV_WORD_MOD,applied,applied_other,0
V5_control,1235,100,73,696,TXN_PREV_WORD_MOD,applied,applied_other,0
V5_control,1235,100,74,530,TXN_PREV_WORD_MOD,applied,C1,1
V5_control,1235,100,75,3789,TXN_PREV_WORD_MOD,applied,C1,2
V5_control,1235,100,76,3929,TXN_PREV_WORD_MOD,applied,C1,16
V5_control,1235,100,77,294,TXN_PREV_WORD_MOD,applied,C1,1
V5_control,1235,100,78,762,TXN_PREV_WORD_MOD,applied,C1,1
V5_control,1235,100,79,2131,COMP_OUT_MOD,applied,C1,2
V5_control,1235,100,80,2605,COMP_OUT_MOD,applied,C1,2
V5_control,1235,100,81,3755,COMP_OUT_MOD,applied,C1,2
V5_control,1235,100,82,175,COMP_OUT_MOD,applied,C1,2
V5_control,1235,100,83,3354,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1235,100,84,3531,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1235,100,85,2652,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1235,100,86,77,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1235,100,87,2309,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1235,100,88,3441,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1235,100,89,825,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1235,100,90,3929,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1235,100,91,372,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1235,100,92,998,CYCLE_DIFF_COUNT_MOD,applied,applied_other,0
V5_control,1235,100,93,2404,INSTR_TYPE_MOD,applied,C1,3
V5_control,1235,100,94,3099,INSTR_TYPE_MOD,applied,C1,1
V5_control,1235,100,95,2942,INSTR_TYPE_MOD,applied,C1,5
V5_control,1235,100,96,538,INSTR_TYPE_MOD,applied,C1,5
V5_control,1235,100,97,3766,INSTR_TYPE_MOD,applied,C1,3
V5_control,1235,100,98,3905,INSTR_TYPE_MOD,applied,C1,3
V5_control,1235,100,99,609,INSTR_TYPE_MOD,applied,C1,4
V5_control,1235,100,100,604,INSTR_TYPE_MOD,applied,C1,4
V6_uniform,1234,100,1,3497,PRE_EXEC_REG_MOD,applied,C1,6
V6_uniform,1234,100,2,70,INSTR_WORD_MOD,applied,accepted,0
V6_uniform,1234,100,3,3143,COMP_OUT_MOD,applied,C1,1
V6_uniform,1234,100,4,3072,POST_EXEC_MEM_MOD,applied,C1,5
V6_uniform,1234,100,5,3399,PRE_EXEC_MEM_MOD,applied,C1,4
V6_uniform,1234,100,6,84,BR_NEG_COND,applied,C1,1
V6_uniform,1234,100,7,3930,PRE_EXEC_REG_MOD,applied,C1,6
V6_uniform,1234,100,8,2254,POST_EXEC_MEM_MOD,applied,C1,7
V6_uniform,1234,100,9,1647,INSTR_WORD_MOD,applied,C2,0
V6_uniform,1234,100,10,2991,PRE_EXEC_REG_MOD,applied,C1,5
V6_uniform,1234,100,11,584,PRE_EXEC_PC_MOD,applied,C1,32
V6_uniform,1234,100,12,94,INSTR_WORD_MOD,skipped,C5,0
V6_uniform,1234,100,13,758,BR_NEG_COND,applied,C2,0
V6_uniform,1234,100,14,352,POST_EXEC_REG_MOD,skipped,C5,0
V6_uniform,1234,100,15,1624,PRE_EXEC_MEM_MOD,applied,C1,8
V6_uniform,1234,100,16,2631,POST_EXEC_PC_MOD,applied,C1,2
V6_uniform,1234,100,17,3209,INSTR_WORD_MOD,applied,C2,0
V6_uniform,1234,100,18,2382,COMP_OUT_MOD,applied,C1,1
V6_uniform,1234,100,19,1905,PRE_EXEC_PC_MOD,applied,C1,3
V6_uniform,1234,100,20,2627,PRE_EXEC_PC_MOD,applied,C1,2
V6_uniform,1234,100,21,1179,INSTR_WORD_MOD,applied,C2,0
V6_uniform,1234,100,22,2462,POST_EXEC_MEM_MOD,applied,C1,6
V6_uniform,1234,100,23,3158,POST_EXEC_PC_MOD,applied,C1,2
V6_uniform,1234,100,24,278,POST_EXEC_PC_MOD,skipped,C5,0
V6_uniform,1234,100,25,2464,POST_EXEC_MEM_MOD,applied,C1,5
V6_uniform,1234,100,26,2953,PRE_EXEC_REG_MOD,applied,C1,5
V6_uniform,1234,100,27,1056,POST_EXEC_REG_MOD,applied,C1,7
V6_uniform,1234,100,28,1575,POST_EXEC_REG_MOD,applied,C2,0
V6_uniform,1234,100,29,3713,POST_EXEC_MEM_MOD,applied,C1,5
V6_uniform,1234,100,30,93,PRE_EXEC_PC_MOD,applied,C2,0
V6_uniform,1234,100,31,377,POST_EXEC_REG_MOD,applied,C1,7
V6_uniform,1234,100,32,1575,PRE_EXEC_REG_MOD,applied,C1,5
V6_uniform,1234,100,33,186,PRE_EXEC_REG_MOD,applied,C1,5
V6_uniform,1234,100,34,2914,POST_EXEC_MEM_MOD,applied,C1,5
V6_uniform,1234,100,35,1809,PRE_EXEC_REG_MOD,applied,C2,0
V6_uniform,1234,100,36,3359,INSTR_WORD_MOD,applied,C2,0
V6_uniform,1234,100,37,2831,PRE_EXEC_REG_MOD,applied,C1,6
V6_uniform,1234,100,38,2512,LOAD_VAL_MOD,applied,C2,0
V6_uniform,1234,100,39,2401,PRE_EXEC_REG_MOD,applied,C1,6
V6_uniform,1234,100,40,3713,POST_EXEC_PC_MOD,applied,C1,1
V6_uniform,1234,100,41,948,PRE_EXEC_PC_MOD,applied,C1,1
V6_uniform,1234,100,42,1228,POST_EXEC_REG_MOD,applied,C1,15
V6_uniform,1234,100,43,3005,PRE_EXEC_MEM_MOD,applied,C1,5
V6_uniform,1234,100,44,3672,INSTR_WORD_MOD,applied,C2,0
V6_uniform,1234,100,45,1047,POST_EXEC_PC_MOD,applied,C2,0
V6_uniform,1234,100,46,47,COMP_OUT_MOD,applied,C1,1
V6_uniform,1234,100,47,1879,PRE_EXEC_REG_MOD,applied,C1,13
V6_uniform,1234,100,48,3749,POST_EXEC_REG_MOD,applied,C1,6
V6_uniform,1234,100,49,1284,POST_EXEC_REG_MOD,applied,C1,6
V6_uniform,1234,100,50,762,POST_EXEC_PC_MOD,applied,C2,0
V6_uniform,1234,100,51,357,POST_EXEC_PC_MOD,applied,C2,0
V6_uniform,1234,100,52,2915,POST_EXEC_PC_MOD,applied,C2,0
V6_uniform,1234,100,53,3746,POST_EXEC_REG_MOD,applied,C1,39
V6_uniform,1234,100,54,3071,PRE_EXEC_PC_MOD,applied,C1,2
V6_uniform,1234,100,55,773,POST_EXEC_MEM_MOD,applied,C1,5
V6_uniform,1234,100,56,766,PRE_EXEC_REG_MOD,applied,C1,5
V6_uniform,1234,100,57,3102,PRE_EXEC_REG_MOD,applied,C1,7
V6_uniform,1234,100,58,301,PRE_EXEC_MEM_MOD,applied,C1,7
V6_uniform,1234,100,59,1179,BR_NEG_COND,applied,C2,0
V6_uniform,1234,100,60,2342,POST_EXEC_MEM_MOD,applied,C1,7
V6_uniform,1234,100,61,3734,POST_EXEC_MEM_MOD,applied,C1,5
V6_uniform,1234,100,62,160,COMP_OUT_MOD,applied,C1,3
V6_uniform,1234,100,63,2343,POST_EXEC_MEM_MOD,applied,C1,5
V6_uniform,1234,100,64,2917,COMP_OUT_MOD,applied,C2,0
V6_uniform,1234,100,65,3639,PRE_EXEC_PC_MOD,applied,C1,2
V6_uniform,1234,100,66,1759,PRE_EXEC_PC_MOD,applied,C1,1
V6_uniform,1234,100,67,1179,PRE_EXEC_PC_MOD,applied,C1,2
V6_uniform,1234,100,68,3796,PRE_EXEC_REG_MOD,applied,C2,0
V6_uniform,1234,100,69,902,INSTR_WORD_MOD,applied,C2,0
V6_uniform,1234,100,70,1111,POST_EXEC_REG_MOD,applied,C1,6
V6_uniform,1234,100,71,3591,POST_EXEC_PC_MOD,applied,C2,0
V6_uniform,1234,100,72,2657,PRE_EXEC_PC_MOD,applied,C1,2
V6_uniform,1234,100,73,3714,POST_EXEC_REG_MOD,applied,C1,5
V6_uniform,1234,100,74,2385,INSTR_WORD_MOD,applied,C2,0
V6_uniform,1234,100,75,3756,POST_EXEC_PC_MOD,applied,accepted,0
V6_uniform,1234,100,76,2342,PRE_EXEC_PC_MOD,applied,C1,3
V6_uniform,1234,100,77,3,INSTR_WORD_MOD,applied,C2,0
V6_uniform,1234,100,78,2462,POST_EXEC_REG_MOD,applied,C1,5
V6_uniform,1234,100,79,3524,PRE_EXEC_REG_MOD,applied,C1,10
V6_uniform,1234,100,80,1047,PRE_EXEC_REG_MOD,applied,C1,5
V6_uniform,1234,100,81,3539,PRE_EXEC_MEM_MOD,applied,C1,6
V6_uniform,1234,100,82,2916,PRE_EXEC_MEM_MOD,applied,C1,6
V6_uniform,1234,100,83,1004,PRE_EXEC_REG_MOD,applied,C1,7
V6_uniform,1234,100,84,2368,INSTR_WORD_MOD,applied,C2,0
V6_uniform,1234,100,85,2625,INSTR_WORD_MOD,applied,C1,1
V6_uniform,1234,100,86,161,PRE_EXEC_REG_MOD,applied,C1,6
V6_uniform,1234,100,87,1713,PRE_EXEC_MEM_MOD,applied,C1,5
V6_uniform,1234,100,88,2578,POST_EXEC_REG_MOD,applied,C1,17
V6_uniform,1234,100,89,3340,POST_EXEC_REG_MOD,applied,C1,6
V6_uniform,1234,100,90,2363,POST_EXEC_REG_MOD,skipped,C5,0
V6_uniform,1234,100,91,987,POST_EXEC_PC_MOD,applied,C2,0
V6_uniform,1234,100,92,2401,PRE_EXEC_MEM_MOD,applied,C1,6
V6_uniform,1234,100,93,3871,POST_EXEC_REG_MOD,applied,C1,6
V6_uniform,1234,100,94,3788,INSTR_WORD_MOD,applied,C1,1
V6_uniform,1234,100,95,2913,POST_EXEC_REG_MOD,applied,C1,7
V6_uniform,1234,100,96,1891,PRE_EXEC_REG_MOD,applied,C1,7
V6_uniform,1234,100,97,443,COMP_OUT_MOD,applied,C2,0
V6_uniform,1234,100,98,1283,POST_EXEC_PC_MOD,applied,C1,10
V6_uniform,1234,100,99,2915,PRE_EXEC_MEM_MOD,applied,C1,5
V6_uniform,1234,100,100,2382,PRE_EXEC_PC_MOD,applied,C1,1
V6_uniform,1235,100,1,3494,PRE_EXEC_PC_MOD,applied,C1,7
V6_uniform,1235,100,2,2837,PRE_EXEC_REG_MOD,applied,C1,6
V6_uniform,1235,100,3,1950,PRE_EXEC_PC_MOD,applied,C2,0
V6_uniform,1235,100,4,2076,PRE_EXEC_PC_MOD,applied,C2,0
V6_uniform,1235,100,5,2768,POST_EXEC_REG_MOD,applied,C1,8
V6_uniform,1235,100,6,1134,PRE_EXEC_REG_MOD,applied,C1,6
V6_uniform,1235,100,7,1179,PRE_EXEC_MEM_MOD,applied,C1,5
V6_uniform,1235,100,8,2254,PRE_EXEC_MEM_MOD,applied,C1,6
V6_uniform,1235,100,9,615,POST_EXEC_PC_MOD,applied,C2,0
V6_uniform,1235,100,10,2461,PRE_EXEC_PC_MOD,applied,C1,1
V6_uniform,1235,100,11,297,COMP_OUT_MOD,applied,C2,0
V6_uniform,1235,100,12,3661,POST_EXEC_MEM_MOD,applied,C1,4
V6_uniform,1235,100,13,3102,PRE_EXEC_MEM_MOD,applied,C1,6
V6_uniform,1235,100,14,3714,POST_EXEC_REG_MOD,applied,C1,2
V6_uniform,1235,100,15,65,PRE_EXEC_PC_MOD,applied,C1,1
V6_uniform,1235,100,16,1879,POST_EXEC_REG_MOD,applied,C1,7
V6_uniform,1235,100,17,2635,PRE_EXEC_PC_MOD,applied,C1,2
V6_uniform,1235,100,18,298,PRE_EXEC_REG_MOD,applied,C1,5
V6_uniform,1235,100,19,1197,PRE_EXEC_REG_MOD,applied,C1,5
V6_uniform,1235,100,20,2589,INSTR_WORD_MOD,applied,C2,0
V6_uniform,1235,100,21,603,PRE_EXEC_REG_MOD,applied,C1,10
V6_uniform,1235,100,22,3237,POST_EXEC_PC_MOD,applied,C2,0
V6_uniform,1235,100,23,2401,POST_EXEC_MEM_MOD,applied,C1,7
V6_uniform,1235,100,24,3514,POST_EXEC_MEM_MOD,applied,C1,6
V6_uniform,1235,100,25,2464,INSTR_WORD_MOD,applied,C2,0
V6_uniform,1235,100,26,540,POST_EXEC_PC_MOD,applied,C1,1
V6_uniform,1235,100,27,3793,COMP_OUT_MOD,applied,C1,2
V6_uniform,1235,100,28,2465,PRE_EXEC_PC_MOD,applied,C2,0
V6_uniform,1235,100,29,3038,POST_EXEC_REG_MOD,applied,C1,6
V6_uniform,1235,100,30,2660,PRE_EXEC_MEM_MOD,applied,C1,7
V6_uniform,1235,100,31,316,POST_EXEC_REG_MOD,applied,C1,8
V6_uniform,1235,100,32,3498,POST_EXEC_MEM_MOD,applied,C1,5
V6_uniform,1235,100,33,2839,INSTR_WORD_MOD,applied,C1,3
V6_uniform,1235,100,34,926,POST_EXEC_REG_MOD,applied,C2,0
V6_uniform,1235,100,35,3599,PRE_EXEC_PC_MOD,applied,C1,2
V6_uniform,1235,100,36,781,INSTR_WORD_MOD,applied,C2,0
V6_uniform,1235,100,37,2464,POST_EXEC_REG_MOD,applied,C1,5
V6_uniform,1235,100,38,161,POST_EXEC_REG_MOD,applied,C1,25
V6_uniform,1235,100,39,2962,POST_EXEC_MEM_MOD,skipped,C5,0
V6_uniform,1235,100,40,296,INSTR_WORD_MOD,applied,accepted,0
V6_uniform,1235,100,41,922,INSTR_WORD_MOD,applied,C2,0
V6_uniform,1235,100,42,865,INSTR_WORD_MOD,applied,C2,0
V6_uniform,1235,100,43,2993,PRE_EXEC_MEM_MOD,applied,C1,6
V6_uniform,1235,100,44,2658,PRE_EXEC_REG_MOD,applied,C1,6
V6_uniform,1235,100,45,3822,INSTR_WORD_MOD,applied,C2,0
V6_uniform,1235,100,46,3713,POST_EXEC_REG_MOD,applied,C2,0
V6_uniform,1235,100,47,1179,PRE_EXEC_MEM_MOD,applied,C1,4
V6_uniform,1235,100,48,2040,PRE_EXEC_PC_MOD,applied,C2,0
V6_uniform,1235,100,49,614,POST_EXEC_MEM_MOD,applied,C1,5
V6_uniform,1235,100,50,2651,INSTR_WORD_MOD,applied,C2,0
V6_uniform,1235,100,51,2562,INSTR_WORD_MOD,applied,C1,3
V6_uniform,1235,100,52,3681,BR_NEG_COND,applied,C1,1
